Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Land Area(Km2),Latitude,Longitude
Madagascar,29.655015400000003,0.9199999999999999,7.18,24657500.0,82.91999999999999,1.24,0.0,0.8540000000000001,40.7762588,602.97594,8.2375,3529.99997175,,1.6782861426,501.93517443999997,587041.0,-18.766947,46.869107
Malawi,13.557353799999998,1.3800000000000001,21.802,30742500.0,75.17,0.19,0.0,1.6780000000000002,89.5700764,549.696004,3.285,1285.00002625,,3.4247878210000002,519.03512866,118484.0,-13.254308,34.301525
Malaysia,99.9689448,96.1,250.96999999999997,355000.0,5.0175,139.8,,27.327999999999996,16.3211918,37103.272,4.43,240315.00245,6.14695766,2.779617374,10660.469194000001,329847.0,4.210484,101.975766
Maldives,99.96000000000001,98.78,23.912,2435000.0,1.1725,0.598,0.0,0.026000000000000002,4.15950554,16736.7856,2.535,1957.499951,,-0.9889747174,9310.317949,298.0,3.202778,73.22068
Mali,44.5735028,0.9,20.130000000000003,31075000.0,76.445,1.7899999999999998,0.0,1.432,44.8638658,1204.9498800000001,4.8175,5287.4999045,,3.8849899942,849.4092134800001,1240192.0,17.570692,-3.996166
Malta,100.0,100.0,,,7.9325,1.546,0.0,0.194,11.7014438,75556.876,1.375,1519.999981,,3.1856008472000004,28547.054972,316.0,35.937496,14.375415999999998
Mauritania,44.3424414,43.08,22.69,49427500.0,27.0175,1.202,0.0,0.398,24.7316808,3743.8828399999998,3.1,3597.50002625,,3.2109619877999998,1647.9928759999998,1030700.0,21.00789,-10.940835
Mauritius,99.640101,96.97999999999999,178.834,14870000.0,9.469999999999999,2.412,0.0,0.522,17.8216852,20744.0674,2.2075,4127.500057,,-0.09410993560000022,10219.9765768,2040.0,-20.348404,57.552152
Mexico,99.6,84.84,180.99,399100000.0,9.895,247.20999999999998,11.181999999999999,59.164,22.128879,17956.8492,3.1075,461682.495125,7.193943679999999,-0.30939556600000007,9199.814293200001,1964375.0,23.634501,-102.552784
Mongolia,95.1561772,48.68,67.756,102405000.0,3.29,5.598,0.0,0.454,7.287642180000001,21575.6464,6.42,20592.4997325,,3.1832067482,3993.6267242000004,1564116.0,46.862496,103.84665599999998
Montenegro,100.0,61.879999999999995,,,40.25,1.466,0.0,1.782,54.2902294,20188.8256,3.4425,2379.99999525,,0.29993712800000016,8049.343829200001,13812.0,42.708678,19.37439
Morocco,99.1,97.94,82.816,429297500.0,10.775,28.810000000000002,0.0,6.114,17.3528743,6698.28122,3.2475,65070.0006475,6.633988840000001,0.9555289307999999,3090.5703544,446550.0,31.791701999999997,-7.092619999999999
Mozambique,28.3849606,4.609999999999999,76.934,76500000.0,78.6875,3.106,0.0,14.931999999999999,82.816874,2626.2005,12.2525,7235.00001425,,2.4180092102,469.7691224,799380.0,-18.665695,35.529562
Myanmar,66.07956779999999,26.47,63.492,49257500.0,61.6425,10.303999999999998,0.0,11.232,52.53461,3071.32464,3.5675,31005.000115000003,,6.517411430199999,1255.3229348,676578.0,21.916221,95.955974
Namibia,53.5277358,46.019999999999996,183.79000000000002,12962500.0,30.155,0.048,0.0,1.5379999999999998,97.0067102,9544.232,3.44,4212.499976,,-1.8643522208,4938.2916392,824292.0,-22.95764,18.49041
Nauru,99.90222800000001,100.0,114.498,2800000.0,0.5125,0.032,0.0,0.0,0.0,25617.914,5.23,62.49999907,,1.0142576793999998,10617.0192862,21.0,-0.522778,166.931503
Nepal,90.46327,32.459999999999994,39.302,96817500.0,76.8175,0.0,0.0,5.306,100.0,1634.57364,5.65,12882.499695,,4.3202891826,1095.3205996000002,147181.0,28.394856999999995,84.124008
Netherlands,100.0,100.0,,,6.97,92.24000000000001,3.7739999999999996,21.332,21.260978599999998,59386.9456,3.2275,152999.996175,6.843921259999999,1.12409675,50490.972904,41543.0,52.132633,5.291266
New Caledonia,100.0,,562.4559999999999,4270000.0,4.7375,2.6399999999999997,0.0,0.422,13.741433899999999,75692.09,,5328.151,,,34384.6924275,19060.0,-20.904305,165.618042
New Zealand,100.0,100.0,,,30.607499999999998,7.62,0.0,35.714,82.41801699999999,52685.174399999996,4.0875,32622.499942500002,38.0125388,2.8091786944,42115.228462,268838.0,-40.900557,174.885971
Nicaragua,86.9424688,53.92999999999999,107.35,67885000.0,50.15,2.0780000000000003,0.0,2.378,53.363007,4314.6662400000005,4.49,5302.5000095,,0.03593535860000006,2022.6533618,130370.0,12.865416,-85.207229
Niger,18.2295054,2.1,0.858,59812500.0,81.27250000000001,0.488,0.0,0.034,6.5941359,453.385948,5.12,2030.00000125,,5.4948918739999995,542.0959374400001,1267000.0,17.607789,8.081666
Nigeria,56.2,10.83,10.956,1632865000.0,82.005,23.64,0.0,7.964,25.2224048,2447.48628,6.305,111125.0,,0.30519024140000006,2099.8595688,923768.0,9.081999,8.675277
North Macedonia,99.96000000000001,76.37,,,19.39,3.982,0.0,1.6280000000000001,29.056788,13971.0918,3.4050000000000002,7672.50013375,14.738155599999999,1.1025100246,5739.2945383999995,25713.0,41.608635,21.745275
Norway,100.0,100.0,,,60.9,2.7640000000000002,0.0,143.372,98.1010848,103187.17199999999,3.56,37505.0001125,69.2066968,0.9084586428,74254.91092000001,323802.0,60.472024,8.468946
Oman,100.0,100.0,9.372,,0.0,34.364,0.0,0.038,0.10985792220000001,79273.74299999999,7.6625,73922.4987025,0.05346126,0.46148859600000003,17047.076156000003,309500.0,21.4735329,55.975413
Pakistan,72.92614160000001,46.3,51.58,1173160000.0,43.11,86.518,8.309999999999999,38.78,35.1643964,4326.53948,4.6,189455.00182499998,10.643013400000001,3.4253581704,1358.5964609999999,796095.0,30.375320999999996,69.345116
